"","Species","Group","Treatment","Set","Individual","X.ray_proportion_viable","TTC_proportion_viable","TTC_num_viable","Total_seeds","Total_germination","Time_to_germ","Time_to_finish","Day01","Day02","Day03","Day04","Day05","Day06","Day07","Day08","Day09","Day10","Day11","Day12","Day13","Day14","Day15","Day16","Day17","Day18","Day19","Day20","Day21","Day22","Day23","Day24","Day25","Day26","Day27","Day28","Day29","Day30","Day31","Day32","Day33","Day34","Day35","Day36","Day37","Day38","Day39","Day40","Day41","Day42","Day43","Day44","Day45","Day46","Day47","Day48","Day49","Day50","Day51","Day52","Day53","Day54","Day55","Day56","Day57","Day58","Day59","Day60","Day61","Proportion_germ","Perc50","t50","firstgerm","lastgerm","timespread","Latitude","Collection_year","seed_weight","seed_wt_mg","Fire_freq","Last_fire","TSF","FPC","Precip","Temp"
"1","littoralis","NA","Control",1,"WPS87",0.9,0.95,0,20,19,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.475,13,13,0,0,-27.72922,2023,0.0026,2.6,0,1986,37,42.9555549621582,48.4246406555176,417.962219238281
"2","littoralis","NA","Control",1,"WPS91",1,0.95,0,20,19,10,13,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.475,10,10,0,0,-27.72872,2023,0.00248,2.48,0,1986,37,36.4000015258789,48.4246406555176,417.962219238281
"3","littoralis","NA","Control",1,"WPS93",0.94,0.95,0,20,19,10,13,0,0,0,0,0,0,0,0,0,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.475,11,10,0,0,-27.71372,2023,0.00241,2.41,0,2004,19,40.7277793884277,49.1970634460449,421.125854492188
"4","littoralis","NA","Control",1,"WPS94",0.94,0.85,0,20,17,10,20,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.425,12,10,0,0,-27.71379,2023,0.00177,1.77,0,2004,19,41.1333351135254,49.1970634460449,421.125854492188
"5","littoralis","NA","Control",1,"WPS96",0.78,0.7,0,20,14,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.65,0.65,0.65,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,13,13,0,0,-27.71353,2023,0.00177,1.77,0,1986,37,43.3333320617676,49.1970634460449,421.125854492188
"6","littoralis","NA","Control",1,"WPS108",0.95,0.8,0,20,16,8,10,0,0,0,0,0,0,0,0.35,0.35,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,8,8,0,0,-27.70752,2023,0.00207,2.07,0,1986,37,39.3444442749023,47.0210914611816,426.675842285156
"7","littoralis","NA","Control",1,"WPS109",0.95,0.9,0,20,18,8,13,0,0,0,0,0,0,0,0.8,0.8,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.45,8,8,0,0,-27.70733,2023,0.00204,2.04,0,1986,37,39.3444442749023,47.0210914611816,426.675842285156
"8","littoralis","NA","Control",1,"WPS135",0.75,0.65,0,20,13,10,17,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,11,10,0,0,-28.23819,2023,0.00189,1.89,0,2004,19,26.5842304229736,49.6796493530273,398.963623046875
"9","littoralis","NA","Control",1,"WPS137",0.91,0.85,0,20,17,10,20,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.425,13,10,0,0,-28.23821,2023,0.00204,2.04,0,2004,19,36.7032241821289,49.6796493530273,398.963623046875
"10","littoralis","NA","Control",1,"WPS139",0.92,0.8,0,20,16,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,13,13,0,0,-28.23792,2023,0.00259,2.59,0,2004,19,43.9777755737305,49.6796493530273,398.963623046875
