Replicate	Treatment	Species	Group	X-ray_proportion_viable	TTC_proportion_viable	Individual
1	C	torulosa	hifi	0.64	0.05	WPS47
1	C	torulosa	hifi	0.87	1	WPS97
1	C	torulosa	hifi	0.82	0.95	WPS102
1	C	torulosa	hifi	0.89	0.75	WPS103
1	C	torulosa	hifi	0.92	0.75	WPS106
1	C	torulosa	hifi	0.95	0.65	WPS125
1	C	torulosa	hifi	0.93	0.8	WPS126
1	C	torulosa	hifi	0.93	0.9	WPS132
1	C	torulosa	hifi	0.93	0.7	WPS133
1	C	torulosa	hifi	0.93	0.85	WPS134
1	C	torulosa	hifi	0.85	0.95	WPS158
1	C	torulosa	hifi	0.8	1	WPS177
1	C	torulosa	hifi	0.92	0.85	WPS178
1	C	torulosa	hifi	0.86	0.9	WPS179
1	C	torulosa	hifi	0.91	0.7	WPS181
1	H80	torulosa	hifi	0.67	0.65	WPS48
1	H80	torulosa	hifi	0.82	0.65	WPS50
1	H80	torulosa	hifi	0.87	0.8	WPS55
1	H80	torulosa	hifi	0.82	0.75	WPS102
1	H80	torulosa	hifi	0.93	0.5	WPS124
1	H80	torulosa	hifi	0.95	1	WPS125
1	H80	torulosa	hifi	0.93	0.85	WPS126
1	H80	torulosa	hifi	0.93	0.9	WPS132
1	H80	torulosa	hifi	0.93	0.9	WPS134
1	H80	torulosa	hifi	0.85	0.9	WPS158
1	H80	torulosa	hifi	0.96	0.9	WPS159
1	H80	torulosa	hifi	0.83	0.75	WPS161
1	H80	torulosa	hifi	0.52	0.9	WPS162
1	H80	torulosa	hifi	0.8	0.65	WPS177
1	H80	torulosa	hifi	0.89	0	WPS180
1	H95	torulosa	hifi	0.67	0.3	WPS48
1	H95	torulosa	hifi	0.87	0.75	WPS55
1	H95	torulosa	hifi	0.92	0.8	WPS106
1	H95	torulosa	hifi	0.93	0.75	WPS124
1	H95	torulosa	hifi	0.95	0.95	WPS125
1	H95	torulosa	hifi	0.93	0.85	WPS126
1	H95	torulosa	hifi	0.93	0.95	WPS132
1	H95	torulosa	hifi	0.93	0.85	WPS133
1	H95	torulosa	hifi	0.93	0.9	WPS134
1	H95	torulosa	hifi	0.85	0.9	WPS158
1	H95	torulosa	hifi	0.96	1	WPS159
1	H95	torulosa	hifi	0.65	0.6	WPS160
1	H95	torulosa	hifi	0.52	0.65	WPS162
1	H95	torulosa	hifi	0.8	0.8	WPS177
1	H95	torulosa	hifi	0.92	0.85	WPS178
1	S	torulosa	hifi	0.84	0.75	WPS28
1	S	torulosa	hifi	0.92	1	WPS31
1	S	torulosa	hifi	0.87	0.85	WPS55
1	S	torulosa	hifi	0.74	0.65	WPS56
1	S	torulosa	hifi	0.64	0.25	WPS98
1	S	torulosa	hifi	0.82	0.85	WPS102
1	S	torulosa	hifi	0.89	0.7	WPS103
1	S	torulosa	hifi	0.93	0.75	WPS124
1	S	torulosa	hifi	0.95	0.6	WPS125
1	S	torulosa	hifi	0.93	0.9	WPS126
1	S	torulosa	hifi	0.85	0.7	WPS131
1	S	torulosa	hifi	0.83	0.75	WPS161
1	S	torulosa	hifi	0.52	0.55	WPS162
1	S	torulosa	hifi	0.92	1	WPS178
1	S	torulosa	hifi	0.86	0.8	WPS179
1	H80+S	torulosa	hifi	0.67	0.3	WPS48
1	H80+S	torulosa	hifi	0.82	0.85	WPS50
1	H80+S	torulosa	hifi	0.74	0.5	WPS54
1	H80+S	torulosa	hifi	0.87	0.35	WPS55
1	H80+S	torulosa	hifi	0.89	0.85	WPS103
1	H80+S	torulosa	hifi	0.93	0.85	WPS124
1	H80+S	torulosa	hifi	0.95	0.95	WPS125
1	H80+S	torulosa	hifi	0.93	0.95	WPS126
1	H80+S	torulosa	hifi	0.93	0.35	WPS132
1	H80+S	torulosa	hifi	0.85	0.8	WPS158
1	H80+S	torulosa	hifi	0.83	0.85	WPS161
1	H80+S	torulosa	hifi	0.52	0.55	WPS162
1	H80+S	torulosa	hifi	0.8	0.55	WPS177
1	H80+S	torulosa	hifi	0.89	0.45	WPS180
1	H80+S	torulosa	hifi	0.91	0.4	WPS181
1	H95+S	torulosa	hifi	0.84	0.9	WPS28
1	H95+S	torulosa	hifi	0.92	0.95	WPS31
1	H95+S	torulosa	hifi	0.67	0.35	WPS48
1	H95+S	torulosa	hifi	0.74	0.75	WPS54
1	H95+S	torulosa	hifi	0.87	0.95	WPS55
1	H95+S	torulosa	hifi	0.74	0.55	WPS56
1	H95+S	torulosa	hifi	0.93	0.9	WPS124
1	H95+S	torulosa	hifi	0.95	0.95	WPS125
1	H95+S	torulosa	hifi	0.93	0.9	WPS126
1	H95+S	torulosa	hifi	0.93	0.95	WPS132
1	H95+S	torulosa	hifi	0.93	0.9	WPS134
1	H95+S	torulosa	hifi	0.83	0.75	WPS161
1	H95+S	torulosa	hifi	0.52	0.5	WPS162
1	H95+S	torulosa	hifi	0.8	0.85	WPS177
1	H95+S	torulosa	hifi	0.91	0.3	WPS181
1	C	torulosa	lowfi	0.86	0.65	WPS57
1	C	torulosa	lowfi	0.93	1	WPS62
1	C	torulosa	lowfi	0.66	0.8	WPS63
1	C	torulosa	lowfi	0.41	0.35	WPS64
1	C	torulosa	lowfi	0.85	0.65	WPS65
1	C	torulosa	lowfi	0.89	0.95	WPS84
1	C	torulosa	lowfi	0.8	0.75	WPS122
1	C	torulosa	lowfi	0.89	0.95	WPS130
1	C	torulosa	lowfi	0.9	1	WPS150
1	C	torulosa	lowfi	0.68	0.6	WPS170
1	C	torulosa	lowfi	0.91	0.9	WPS172
1	C	torulosa	lowfi	0.97	0.95	WPS174
1	C	torulosa	lowfi	0.4	0.15	WPS196
1	C	torulosa	lowfi	0.77	0.65	WPS197
1	C	torulosa	lowfi	0.33	0.5	WPS201
1	H80	torulosa	lowfi	0.86	0.75	WPS57
1	H80	torulosa	lowfi	0.93	1	WPS60
1	H80	torulosa	lowfi	0.85	0.8	WPS65
1	H80	torulosa	lowfi	0.87	0.9	WPS71
1	H80	torulosa	lowfi	0.83	0.8	WPS78
1	H80	torulosa	lowfi	0.62	0.7	WPS83
1	H80	torulosa	lowfi	0.89	0.75	WPS84
1	H80	torulosa	lowfi	0.86	0.85	WPS113
1	H80	torulosa	lowfi	0.89	0.9	WPS130
1	H80	torulosa	lowfi	0.85	0.7	WPS146
1	H80	torulosa	lowfi	0.82	0.75	WPS147
1	H80	torulosa	lowfi	0.9	0.85	WPS150
1	H80	torulosa	lowfi	0.94	1	WPS187
1	H80	torulosa	lowfi	0.93	0.8	WPS195
1	H80	torulosa	lowfi	0.33	0.25	WPS201
1	H95	torulosa	lowfi	0.65	0.45	WPS58
1	H95	torulosa	lowfi	0.93	0.9	WPS62
1	H95	torulosa	lowfi	0.66	0.6	WPS63
1	H95	torulosa	lowfi	0.83	0.85	WPS75
1	H95	torulosa	lowfi	0.9	0.95	WPS82
1	H95	torulosa	lowfi	0.88	0.9	WPS123
1	H95	torulosa	lowfi	0.89	0.8	WPS130
1	H95	torulosa	lowfi	0.8	0.75	WPS138
1	H95	torulosa	lowfi	0.83	0.55	WPS149
1	H95	torulosa	lowfi	0.94	0.7	WPS168
1	H95	torulosa	lowfi	0.68	0.8	WPS170
1	H95	torulosa	lowfi	0.28	0.3	WPS175
1	H95	torulosa	lowfi	0.94	0.9	WPS187
1	H95	torulosa	lowfi	0.77	0.2	WPS192
1	H95	torulosa	lowfi	0.4	0.2	WPS196
1	S	torulosa	lowfi	0.86	0.55	WPS57
1	S	torulosa	lowfi	0.87	0.85	WPS59
1	S	torulosa	lowfi	0.96	0.9	WPS61
1	S	torulosa	lowfi	0.77	0.8	WPS73
1	S	torulosa	lowfi	0.58	0.3	WPS77
1	S	torulosa	lowfi	0.83	0.9	WPS78
1	S	torulosa	lowfi	0.92	0.95	WPS112
1	S	torulosa	lowfi	0.86	1	WPS113
1	S	torulosa	lowfi	0.88	1	WPS123
1	S	torulosa	lowfi	0.89	0.3	WPS148
1	S	torulosa	lowfi	0.9	0.85	WPS150
1	S	torulosa	lowfi	0.94	0.8	WPS168
1	S	torulosa	lowfi	0.97	0.6	WPS174
1	S	torulosa	lowfi	0.4	0.3	WPS196
1	S	torulosa	lowfi	0.89	0.5	WPS202
1	H80+S	torulosa	lowfi	0.93	1	WPS60
1	H80+S	torulosa	lowfi	0.96	1	WPS61
1	H80+S	torulosa	lowfi	0.93	1	WPS62
1	H80+S	torulosa	lowfi	0.77	0.7	WPS73
1	H80+S	torulosa	lowfi	0.83	0.85	WPS78
1	H80+S	torulosa	lowfi	0.9	0.85	WPS82
1	H80+S	torulosa	lowfi	0.89	0.8	WPS84
1	H80+S	torulosa	lowfi	0.86	0.75	WPS113
1	H80+S	torulosa	lowfi	0.8	0.65	WPS122
1	H80+S	torulosa	lowfi	0.88	0.75	WPS123
1	H80+S	torulosa	lowfi	0.89	0.9	WPS130
1	H80+S	torulosa	lowfi	0.82	0.8	WPS147
1	H80+S	torulosa	lowfi	0.83	0.8	WPS149
1	H80+S	torulosa	lowfi	0.28	0.2	WPS175
1	H80+S	torulosa	lowfi	0.77	0.7	WPS197
1	H95+S	torulosa	lowfi	0.64	0	WPS58
1	H95+S	torulosa	lowfi	0.96	0.9	WPS61
1	H95+S	torulosa	lowfi	0.85	0.65	WPS65
1	H95+S	torulosa	lowfi	0.87	0.95	WPS71
1	H95+S	torulosa	lowfi	0.77	1	WPS73
1	H95+S	torulosa	lowfi	0.58	0.6	WPS77
1	H95+S	torulosa	lowfi	0.89	0.9	WPS84
1	H95+S	torulosa	lowfi	0.92	1	WPS112
1	H95+S	torulosa	lowfi	0.7	0.2	WPS114
1	H95+S	torulosa	lowfi	0.8	0.85	WPS138
1	H95+S	torulosa	lowfi	0.89	0.7	WPS148
1	H95+S	torulosa	lowfi	0.83	0.85	WPS149
1	H95+S	torulosa	lowfi	0.91	0.9	WPS172
1	H95+S	torulosa	lowfi	0.33	0.05	WPS201
1	H95+S	torulosa	lowfi	0.89	0.9	WPS202
1	C	littoralis	NA	0.9	0.95	WPS87
1	C	littoralis	NA	1	0.95	WPS91
1	C	littoralis	NA	0.94	0.95	WPS93
1	C	littoralis	NA	0.94	0.85	WPS94
1	C	littoralis	NA	0.78	0.7	WPS96
1	C	littoralis	NA	0.95	0.8	WPS108
1	C	littoralis	NA	0.95	0.9	WPS109
1	C	littoralis	NA	0.75	0.65	WPS135
1	C	littoralis	NA	0.91	0.85	WPS137
1	C	littoralis	NA	0.92	0.8	WPS139
1	C	littoralis	NA	0.74	0.6	WPS142
1	C	littoralis	NA	0.12	0.15	WPS144
1	C	littoralis	NA	0.78	0.75	WPS145
1	C	littoralis	NA	0.72	0.3	WPS152
1	C	littoralis	NA	0.85	0.8	WPS154
1	H80	littoralis	NA	1	1	WPS127
1	H80	littoralis	NA	0.95	1	WPS128
1	H80	littoralis	NA	0.67	0.95	WPS89
1	H80	littoralis	NA	0.99	0.9	WPS90
1	H80	littoralis	NA	1	0.95	WPS91
1	H80	littoralis	NA	0.89	0.9	WPS92
1	H80	littoralis	NA	0.94	0.85	WPS94
1	H80	littoralis	NA	0.91	0	WPS107
1	H80	littoralis	NA	0.81	0.75	WPS111
1	H80	littoralis	NA	0.91	0.95	WPS137
1	H80	littoralis	NA	0.95	0.95	WPS140
1	H80	littoralis	NA	0.84	0.75	WPS141
1	H80	littoralis	NA	0.85	0.85	WPS154
1	H80	littoralis	NA	0.97	1	WPS156
1	H80	littoralis	NA	0.93	0.95	WPS169
1	H95	littoralis	NA	0.95	1	WPS128
1	H95	littoralis	NA	0.79	0.85	WPS88
1	H95	littoralis	NA	0.89	0.75	WPS92
1	H95	littoralis	NA	0.93	0.9	WPS93
1	H95	littoralis	NA	0.96	0.85	WPS95
1	H95	littoralis	NA	0.95	1	WPS108
1	H95	littoralis	NA	0.93	0.95	WPS109
