Location,Transect,Fire_freq,Fire_freq_category,Collection_datae,Species,Seed_lot,Seed_colour,Number_treatments_possible,Number_seeds_post_thermogradient,Number_seeds,Seed_mass_10_seeds_(g),See_lot_mass_(g),Number_cones,Seed_mass/cone,Cone_length,Cone_width,Viable,Inviable,Proportion_viable
Lockyer National Park,LH1,6,High,27/09/2022,torulosa,WPS28,Dark brown,3.716666667,,223,0.0517,1.152,12,0.096,2.1,1.94,22,16,0.098732639
Lockyer National Park,LH1,6,High,27/09/2022,torulosa,WPS31,Dark brown,2.916666667,,175,0.047,0.824,9,0.091555556,1.82,1.87,92,8,0.524757282
Lockyer National Park,LH8,7,High,15/03/2023,torulosa,WPS47,Dark brown,1.8,,108,0.0589,0.636,5,0.1272,1.96,2.09,65,36,0.601965409
Lockyer National Park,LH8,7,High,15/03/2023,torulosa,WPS48,Dark brown,7.333333333,,440,0.0454,1.996,15,0.133066667,2.45,1.96,67,33,0.15239479
Lockyer National Park,LH8,7,High,15/03/2023,torulosa,WPS50,Dark brown,2.933333333,,176,0.0465,0.818,5,0.1636,2.58,2.32,82,17,0.466136919
Lockyer National Park,LH4,4,High,15/03/2023,torulosa,WPS54,Dark brown,2.116666667,,127,0.0414,0.526,4,0.1315,2.09,2,74,26,0.58243346
Lockyer National Park,LH4,4,High,15/03/2023,torulosa,WPS55,Medium brown,12.36666667,,742,0.0289,2.144,16,0.134,2.45,2.11,87,13,0.117271455
Lockyer National Park,LH4,5,High,15/03/2023,torulosa,WPS56,Dark brown,2.383333333,,143,0.0373,0.535,5,0.107,2.06,1.77,74,26,0.515925234
Lockyer National Park,LH6,5,High,16/06/2023,torulosa,WPS97,Dark brown,1.733333333,,104,0.0482,0.503,5,0.1006,2.03,1.93,83,12,0.795347913
Lockyer National Park,LH6,5,High,26/06/2023,torulosa,WPS98,Dark brown,1.75,,105,0.0302,0.3185,5,0.0637,2.16,1.92,64,36,0.606844584
Lockyer National Park,LH5,5,High,16/06/2023,torulosa,WPS102,Dark brown,4.9,,294,0.0422,1.2418,7,0.1774,2.69,2.71,83,18,0.282058302
Lockyer National Park,LH5,5,High,16/06/2023,torulosa,WPS103,Dark brown,3.1,,186,0.0403,0.7511,5,0.15022,3.07,2.23,89,10,0.477526295
Lockyer National Park,LH5,5,High,16/06/2023,torulosa,WPS106,Dark brown,2.366666667,,142,0.0509,0.7204,6,0.120066667,2.55,2.13,92,8,0.650027762
Mount Barney National Park,BTH2,4,High,10/07/2023,torulosa,WPS124,Dark brown,5.1,,306,0.0461,1.41,11,0.128181818,2.29,2.2,93,7,0.30406383
Mount Barney National Park,BTH2,4,High,10/07/2023,torulosa,WPS125,Dark brown,12.93333333,,776,0.0431,3.3436,40,0.08359,1.97,2.09,95,5,0.12245783
Mount Barney National Park,BTH2,4,High,10/07/2023,torulosa,WPS126,Dark brown,11.01666667,,661,0.0366,2.4206,25,0.096824,1.91,1.98,93,7,0.140618029
