Location,Transect,Collection_date,Species,Individual,Plant_condition,Resprouting,Fecundity_(number_cones_on_tree),Latitude,Longitude,Seed_colour,Number_of_seeds_estimate_from_weight,Seed_weight_subset_of_10_seeds,Seed_mass_(Weight_of_seed_lot_in_g),Number_of_cones_collected,Seed_mass/cone,Cone_length,Cone_width,Number_viable,Number_inviable,Total_seeds_x-rayed,Proportion_viable_(Number_viable/total_seeds),Collection_year
Gatton_National_Park,GB1,11/04/2022,littoralis,GB1Q30,alive,none,NA,-27.60261,152.30475,Black,14,0.0277,0.04,1,0.04,3.7,2.1,0,15,15,0,2022
Gatton_National_Park,GB1,11/04/2022,littoralis,WPS1,alive,none,>500,-27.60261,152.30475,Dark_brown,48,0.0239,0.115,4,0.02875,1.93,1.66,50,3,53,1.04,2022
Gatton_National_Park,GB1,11/04/2022,littoralis,WPS2,alive,none,16,-27.60271,152.30515,Black,16,0.0208,0.034,4,0.0085,1.93,1.6,12,6,18,0.73,2022
Gatton_National_Park,GB1,11/04/2022,littoralis,WPS3,alive,none,120,-27.6027,152.30527,Black,86,0.0302,0.259,9,0.028777778,2.2,1.54,83,7,90,92.22,2022
Lockyer_National_Park,LH1,27/09/2022,torulosa,WPS28,alive,none,100,-27.46727,152.17751,Dark_brown,223,0.0517,1.152,12,0.096,2.1,1.94,22,16,100,84,2022
Lockyer_National_Park,LH1,27/09/2022,torulosa,WPS31,alive,none,100,-27.46695,152.17718,Dark_brown,175,0.047,0.824,9,0.091555556,1.82,1.87,92,8,100,92,2022
Lockyer_National_Park,LL2,24/10/2022,torulosa,WPS36,alive,none,4,-27.46743,152.17733,Dark_brown,53,0.0615,0.329,2,0.1645,2.2,2.1,55,4,59,93.22,2022
Lockyer_National_Park,LH8,15/03/2023,torulosa,WPS47,burnt,none,60,-27.49815,152.21763,Dark_brown,108,0.0589,0.636,5,0.1272,1.96,2.09,65,36,101,64.36,2023
Lockyer_National_Park,LH8,15/03/2023,torulosa,WPS48,burnt,none,150,-27.4983,152.21754,Dark_brown,440,0.0454,1.996,15,0.133066667,2.45,1.96,67,33,100,67,2023
Lockyer_National_Park,LH8,15/03/2023,torulosa,WPS50,burnt,none,26,-27.49854,152.2174,Dark_brown,176,0.0465,0.818,5,0.1636,2.58,2.32,82,17,99,82.83,2023
Lockyer_National_Park,LH4,15/03/2023,torulosa,WPS54,burnt,none,30,-27.47202,152.21831,Dark_brown,127,0.0414,0.526,4,0.1315,2.09,2,74,26,100,74,2023
Lockyer_National_Park,LH4,15/03/2023,torulosa,WPS55,burnt,none,>500,-27.47154,152.21814,Medium_brown,742,0.0289,2.144,16,0.134,2.45,2.11,87,13,100,87,2023
Lockyer_National_Park,LH4,15/03/2023,torulosa,WPS56,burnt,none,130,-27.47132,152.21847,Dark_brown,143,0.0373,0.535,5,0.107,2.06,1.77,74,26,100,74,2023
Lockyer_-_Garrett_property,LL6,17/03/2023,torulosa,WPS57,burnt,none,46,-27.45172,152.19814,Dark_brown,235,0.0411,0.967,6,0.161166667,2.17,2.02,86,14,100,86,2023
Lockyer_-_Garrett_property,LL6,17/03/2023,torulosa,WPS58,burnt,none,>250,-27.45166,152.19794,Dark_brown,164,0.0269,0.442,5,0.0884,2.14,2.16,64,36,100,64,2023
Lockyer_-_Garrett_property,LL6,17/03/2023,torulosa,WPS59,burnt,none,>500,-27.4515,152.19778,Black,160,0.0543,0.87,5,0.174,2.08,1.96,87,13,100,87,2023
Lockyer_-_Garrett_property,LL6,17/03/2023,torulosa,WPS60,burnt,none,35,-27.4514,152.19798,Dark_brown,165,0.0564,0.933,5,0.1866,2.38,2.08,93,7,100,93,2023
Lockyer_-_Garrett_property,LL6,17/03/2023,torulosa,WPS61,burnt,none,>350,-27.45141,152.19757,Dark_brown,287,0.0437,1.255,8,0.156875,2.16,1.85,96,4,100,96,2023
Lockyer_-_Garrett_property,LL7,17/03/2023,torulosa,WPS62,burnt,none,45,-27.45252,152.19708,Medium_brown,328,0.0521,1.707,8,0.213375,2.39,2.18,93,7,100,93,2023
Lockyer_-_Garrett_property,LL7,17/03/2023,torulosa,WPS63,alive,none,90,-27.45273,152.19723,Dark_brown,172,0.0579,0.995,7,0.142142857,1.91,2.15,66,34,100,66,2023
Lockyer_-_Garrett_property,LL7,17/03/2023,torulosa,WPS64,burnt,none,>500,-27.45299,152.19728,Medium_brown,98,0.0527,0.517,5,0.1034,2.02,2.12,41,59,100,41,2023
Lockyer_-_Garrett_property,LL7,17/03/2023,torulosa,WPS65,alive,none,20,-27.4528,152.19758,Dark_brown,182,0.0494,0.9,7,0.128571429,2.31,2.01,85,15,100,85,2023
Lockyer_-_Garrett_property,LL5,4/05/2023,torulosa,WPS71,alive,basal,>250,-27.45435,152.19879,Dark_brown,321,0.037,1.1859,11,0.107809091,2.07,1.7,87,13,100,87,2023
Lockyer_-_Garrett_property,LL8,4/05/2023,torulosa,WPS73,alive,none,>500,-27.45428,152.19662,Dark_brown,1840,0.042,7.7272,73,0.105852055,1.92,1.68,77,23,100,77,2023
Lockyer_-_Garrett_property,LL8,4/05/2023,torulosa,WPS75,alive,basal,20,-27.45442,152.19705,Dark_brown,95,0.0383,0.3629,7,0.051842857,2.33,1.95,83,17,100,83,2023
Lockyer_-_Garrett_property,LL3,18/05/2023,torulosa,WPS77,burnt,none,>250,-27.45668,152.19509,Medium_brown,226,0.0704,1.5906,10,0.15906,2.32,2.09,58,42,100,58,2023
Lockyer_-_Garrett_property,LL3,18/05/2023,torulosa,WPS78,burnt,none,150,-27.45692,152.1951,Dark_brown,376,0.0466,1.7539,13,0.134915385,1.94,1.9,83,17,100,83,2023
Lockyer_-_Garrett_property,LL3,18/05/2023,torulosa,WPS80,burnt,none,40,-27.45666,152.19532,Dark_brown,11,0.532,0.5809,4,0.145225,2.23,2.05,96,4,100,96,2023
