"","Location","Transect","Species","QPWS_within","Number_seedlings","Number_saplings","Number_mature","Average_cones","Latitude","Longitude","Year_measured","Fire_freq","Last_fire","TSF","Proportion_seedlings","Proportion_saplings","Proportion_recruits","FPC","precip"
"1","Deongwar","DB1","torulosa","Y",95,16,8,0,-27.31778,152.225,2022,3,2019,3,0.922330097087379,0.666666666666667,0.932773109243697,57.75,49.2017135620117
"2","Deongwar","DB2","torulosa","Y",0,0,2,0,-27.31878,152.22469,2022,3,2019,3,0,0,0,57.8388900756836,43.6146354675293
"3","Deongwar","DB3","torulosa","N",0,6,11,0,-27.31875,152.22723,2022,3,2019,3,0,0.352941176470588,0.352941176470588,61.0277786254883,43.6146354675293
"4","Deongwar","DB4","torulosa","Y",0,6,10,0,-27.32695,152.21842,2022,3,2019,3,0,0.375,0.375,58.7944450378418,44.0773849487305
"5","Gatton","GB1","littoralis","Y",0,1,7,0,-27.60259,152.30561,2022,4,2020,2,0,0.125,0.125,34.8222236633301,48.8418502807617
"6","Lockyer","LL1","torulosa","N",0,0,4,0,-27.49865,152.15983,2022,1,1997,25,0,0,0,54.6833343505859,46.622917175293
"7","Lockyer","LH1","torulosa","Y",0,0,2,125,-27.46724,152.17768,2022,5,2012,10,0,0,0,58.3555564880371,45.2381401062012
"8","Lockyer","LL2","torulosa","Y",0,2,2,0,-27.47705,152.1616,2022,1,2002,20,0,0.5,0.5,54.6777763366699,45.4344749450684
"9","Lockyer","LH2","torulosa","Y",0,0,2,0,-27.46609,152.17576,2023,3,2012,11,0,0,0,52.8055572509766,45.2381401062012
"10","Lockyer","LL3","torulosa","N",10,8,5,250,-27.45667,152.19496,2023,1,2002,21,0.666666666666667,0.615384615384615,0.782608695652174,57.6388893127441,48.1853561401367
"11","Lockyer","LH3","torulosa","Y",0,0,3,0,-27.49773,152.21617,2023,7,2022,1,0,0,0,52.3277778625488,44.979175567627
"12","Lockyer","LL4","torulosa","N",0,1,14,0,-27.45566,152.19341,2023,1,2002,21,0,0.0666666666666667,0.0666666666666667,61.3999977111816,48.5783843994141
"13","Lockyer","LH4","torulosa","Y",1,4,10,120,-27.47202,152.21784,2023,3,2012,11,0.0909090909090909,0.285714285714286,0.333333333333333,55.5833320617676,48.5214614868164
"14","Lockyer","LL5","torulosa","N",0,0,2,0,-27.45337,152.19924,2023,1,2002,21,0,0,0,41.8166656494141,48.1283836364746
"15","Lockyer","LH5","torulosa","Y",0,6,4,15,-27.46224,152.22031,2023,4,2021,2,0,0.6,0.6,58.2388877868652,48.6642036437988
"16","Lockyer","LL6","torulosa","N",9,4,17,23,-27.45154,152.19775,2023,1,2002,21,0.346153846153846,0.19047619047619,0.433333333333333,55.2555541992188,48.1283836364746
"17","Lockyer","LH6","torulosa","Y",1,1,3,15,-27.47021,152.22727,2023,4,2021,2,0.25,0.25,0.4,62.1888885498047,45.2565536499023
"18","Lockyer","LL7","torulosa","N",2,11,24,40,-27.45282,152.19738,2023,1,2002,21,0.0769230769230769,0.314285714285714,0.351351351351351,51.6222229003906,48.5783843994141
"19","Lockyer","LL8","torulosa","N",0,0,5,500,-27.45427,152.19644,2023,1,2002,21,0,0,0,49.6944427490234,48.5783843994141
