Location,Transect,Species,Latitude,Longitude
Deongwar,DB1,torulosa,-27.31778,152.225
Deongwar,DB2,torulosa,-27.31878,152.22469
Deongwar,DB3,torulosa,-27.31875,152.22723
Deongwar,DB4,torulosa,-27.32695,152.21842
Gatton,GB1,littoralis,-27.60259,152.30561
Gatton,GB2,leuhmanni,-27.59622,152.30473
Lockyer ,LL1,torulosa,-27.49865,152.15983
Lockyer ,LH1,torulosa,-27.46724,152.17768
Lockyer ,LL2,torulosa,-27.47705,152.1616
Lockyer,LH2,torulosa,-27.46609,152.17576
Lockyer,LH3,torulosa,-27.49773,152.21617
Lockyer,LH4,torulosa,-27.47202,152.21784
Lockyer,LH5,torulosa,-27.46224,152.22031
Lockyer,LH6,torulosa,-27.47021,152.22727
Lockyer,LH8,torulosa,-27.49852,152.2174
Lockyer - Garrett,LL6,torulosa,-27.45154,152.19775
Lockyer - Garrett,LL7,torulosa,-27.45282,152.19738
Lockyer - Garrett,LL5,torulosa,-27.45337,152.19924
Lockyer - Garrett,LL8,torulosa,-27.45427,152.19644
Lockyer - Garrett,LL3,torulosa,-27.45667,152.19496
Lockyer - Garrett,LL4,torulosa,-27.45566,152.19341
Hidden Vale,HLit2,littoralis,-27.7292,152.43682
Hidden Vale,HLit1,littoralis,-27.71367,152.44638
Bartopia 1,BAR1,torulosa,-28.23284,152.6328
Bartopia 2,BAR2,torulosa,-28.23437,152.63408
Mt Barney,BTH1,torulosa,-28.23584,152.71584
Mt Barney ,BTH2,torulosa,-28.23694,152.71874
Mt Barney,BTH3,torulosa,-28.28369,152.72816
Mt Barney,BTHLit1,littoralis,-28.28306,152.72639
Mt Barney,BTL1,torulosa,-28.24074,152.65541
Mt Barney,BTL2,torulosa,-28.27824,152.73827
Mt Barney,BTLit1,littoralis,-28.23805,152.72728
Mt Barney,BTLit2,littoralis,-28.24014,152.73011
Mt Barney,BTLit3,littoralis,-28.27745,152.73888
Bulimbah,BUL1,torulosa,-28.23691,152.64244
Bulimbah,BUL2,torulosa,-28.23515,152.63733
Dwyers,DTLit1,littoralis,-27.70745,152.08873
Gillies,GIL1,torulosa,-28.27195,152.76854
Main Range,ML1,torulosa,-27.97793,152.35292
Main Range,ML2,torulosa,-27.97754,152.34231
Gen Robey,WATER,torulosa,-28.22731,152.65842
