"Location" "Transect" "Quadrat" "Record_loc" "Canopy_cov" "Leaf_litter_cov" "Live_cov" "Species" "Age" "Condition" "Recruitment" "Multi-stemmed" "Height_m" "Average_height" "Height_variation" "DBH" "Average_DBH" "DBH_variation" "Cone_pres" "Cone_num" "Ort_num" "Ort_col" "Longitude" "Latitude" "Year_measured" "Fire_freq" "Year_last_burnt" "TSF" "FPC" "precip"
"1" "Deongwar" "DB1" 0 "in" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.885 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"2" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.54 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"3" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.75 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"4" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.99 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"5" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.8 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"6" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.85 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"7" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.72 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"8" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.65 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"9" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.64 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"10" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.73 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"11" "Deongwar" "DB1" 0 "out" NA NA NA "torulosa" "sapling" "alive" "none" 0 1.25 NA NA NA NA NA "N" 0 "0" NA -27.3177942 152.2250008 2022 3 2019 4 57.7499998304579 49.2017135620117
"12" "Deongwar" "DB1" 10 "in" NA NA NA "torulosa" NA NA NA NA NA NA NA NA NA NA NA NA NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"13" "Deongwar" "Db1" 10 "out" NA NA NA "torulosa" "mature" "alive" "basal" 1 0.1 10 0 13.687 12.891 1.267232 "N" 0 "0" NA -27.3177879 152.2248971 2022 NA NA NA 57.7499998304579 49.2017135620117
"14" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.16 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"15" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.21 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"16" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.185 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"17" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.31 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"18" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.69 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"19" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.53 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"20" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.68 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"21" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.45 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"22" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.49 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"23" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "sapling" "alive" "none" 0 1.11 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"24" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "sapling" "alive" "none" 0 1.19 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"25" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "sapling" "alive" "none" 0 1.14 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"26" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "sapling" "alive" "none" 0 1.18 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"27" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.62 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"28" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.76 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"29" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.34 NA NA NA NA NA "N" 0 "0" NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"30" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.46 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"31" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.93 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"32" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.75 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"33" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.32 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"34" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.59 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
"35" "Deongwar" "DB1" 10 "out" NA NA NA "torulosa" "seedling" "alive" "none" 0 0.49 NA NA NA NA NA "N" 0 NA NA -27.3177879 152.2248971 2022 3 2019 4 57.7499998304579 49.2017135620117
