"","ID","number_treats_possible","Group1","Group2","Group3","Group4","Group5","Group6","is_equal"
"1","WPS28",3.716666667,6,4,5,1,3,2,FALSE
"2","WPS31",2.916666667,6,1,4,5,2,3,FALSE
"3","WPS47",1.8,1,5,4,2,3,6,FALSE
"4","WPS48",7.333333333,2,6,3,5,1,4,FALSE
"5","WPS50",2.933333333,2,5,1,3,4,6,FALSE
"6","WPS54",2.116666667,6,5,1,3,4,2,FALSE
"7","WPS55",12.36666667,4,5,2,6,3,1,FALSE
"8","WPS56",2.383333333,4,6,3,5,2,1,FALSE
"9","WPS97",1.733333333,1,5,4,6,2,3,FALSE
"10","WPS98",1.75,4,1,6,5,3,2,FALSE
"11","WPS102",4.9,1,4,5,2,6,3,FALSE
"12","WPS103",3.1,5,1,4,6,2,3,FALSE
"13","WPS106",2.366666667,1,3,5,6,4,2,FALSE
"14","WPS124",5.1,3,4,2,5,6,1,FALSE
"15","WPS125",12.93333333,4,5,1,3,6,2,FALSE
"16","WPS126",11.01666667,6,5,1,3,4,2,FALSE
"17","WPS131",1.383333333,4,1,3,2,6,5,FALSE
"18","WPS132",7.033333333,1,6,3,2,5,4,FALSE
"19","WPS133",4.433333333,1,3,5,4,6,2,FALSE
"20","WPS134",12.01666667,1,3,2,4,6,5,FALSE
"21","WPS158",7.083333333,5,2,1,4,3,6,FALSE
"22","WPS159",2.333333333,2,3,5,4,6,1,FALSE
"23","WPS160",1.416666667,3,1,6,5,2,4,FALSE
"24","WPS161",4.583333333,4,6,2,5,3,1,FALSE
"25","WPS162",7.733333333,5,3,6,1,4,2,FALSE
"26","WPS177",11.18333333,2,1,3,5,6,4,FALSE
"27","WPS178",3.883333333,4,1,3,5,6,2,FALSE
"28","WPS179",2.183333333,1,2,4,5,6,3,FALSE
"29","WPS180",2.816666667,1,5,2,6,3,4,FALSE
"30","WPS181",3.3,1,5,6,2,3,4,FALSE
