"","X","ID","number_treats_possible","Group1","Group2","Group3","Group4","Group5","Group6","is_equal"
"1",1,"WPS28",3.716666667,6,4,0,0,0,0,0
"2",2,"WPS31",2.916666667,6,0,4,0,0,0,0
"3",3,"WPS47",1.8,1,0,0,0,0,0,0
"4",4,"WPS48",7.333333333,2,6,3,5,0,0,0
"5",5,"WPS50",2.933333333,2,5,0,0,0,0,0
"6",6,"WPS54",2.116666667,6,5,0,0,0,0,0
"7",7,"WPS55",12.36666667,4,5,2,6,3,0,0
"8",8,"WPS56",2.383333333,4,6,0,0,0,0,0
"9",9,"WPS97",1.733333333,1,0,0,0,0,0,0
"10",10,"WPS98",1.75,4,0,0,0,0,0,0
"11",11,"WPS102",4.9,1,4,0,2,0,0,0
"12",12,"WPS103",3.1,5,1,4,0,0,0,0
"13",13,"WPS106",2.366666667,1,3,0,0,0,0,0
"14",14,"WPS124",5.1,3,4,2,5,6,0,0
"15",15,"WPS125",12.93333333,4,5,1,3,6,2,0
"16",16,"WPS126",11.01666667,6,5,1,3,4,2,0
"17",17,"WPS131",1.383333333,4,0,0,0,0,0,0
"18",18,"WPS132",7.033333333,1,6,3,2,5,0,0
"19",19,"WPS133",4.433333333,1,3,0,0,0,0,0
"20",20,"WPS134",12.01666667,1,3,2,0,6,0,0
"21",21,"WPS158",7.083333333,5,2,1,0,3,0,0
"22",22,"WPS159",2.333333333,2,3,0,0,0,0,0
"23",23,"WPS160",1.416666667,3,0,0,0,0,0,0
"24",24,"WPS161",4.583333333,4,6,2,5,0,0,0
"25",25,"WPS162",7.733333333,5,3,6,0,4,2,0
"26",26,"WPS177",11.18333333,2,1,3,5,6,0,0
"27",27,"WPS178",3.883333333,4,1,3,0,0,0,0
"28",28,"WPS179",2.183333333,1,0,4,0,0,0,0
"29",29,"WPS180",2.816666667,0,5,2,0,0,0,0
"30",30,"WPS181",3.3,1,5,6,0,0,0,0
