"","X","ID","number_treats_possible","Group1","Group2","Group3","Group4","Group5","Group6","is_equal"
"1",1,"WPS57",3.916666667,2,1,4,0,0,0,0
"2",2,"WPS58",2.733333333,6,3,0,0,0,0,0
"3",3,"WPS59",2.666666667,4,0,0,0,0,0,0
"4",4,"WPS60",2.75,5,2,0,0,0,0,0
"5",5,"WPS61",4.783333333,4,5,6,0,0,0,0
"6",6,"WPS62",5.466666667,1,3,5,0,0,0,0
"7",7,"WPS63",2.866666667,3,1,0,0,0,0,0
"8",8,"WPS64",1.633333333,1,0,0,0,0,0,0
"9",9,"WPS65",3.033333333,6,1,2,0,0,0,0
"10",10,"WPS71",5.35,6,0,2,0,0,0,0
"11",11,"WPS73",30.66666667,6,5,0,4,0,0,0
"12",12,"Testing1",74.76666667,0,0,0,0,0,0,0
"13",13,"Testing2",49.18333333,0,0,0,0,0,0,0
"14",14,"WPS75",1.583333333,3,0,0,0,0,0,0
"15",15,"WPS77",3.766666667,6,0,4,0,0,0,0
"16",16,"WPS78",6.266666667,5,2,4,0,0,0,0
"17",17,"WPS82",2.616666667,5,3,0,0,0,0,0
"18",18,"WPS83",1.8,2,0,0,0,0,0,0
"19",19,"WPS84",7.533333333,2,1,6,0,0,5,0
"20",20,"WPS112",2.7,6,4,0,0,0,0,0
"21",21,"WPS113",12.28333333,2,0,5,4,0,0,0
"22",22,"WPS114",1.75,6,0,0,0,0,0,0
"23",23,"WPS122",8.75,0,5,1,0,0,0,0
"24",24,"WPS123",8.25,4,3,0,0,0,5,0
"25",25,"WPS130",15.33333333,2,1,3,0,5,0,0
"26",26,"WPS138",2.5,6,3,0,0,0,0,0
"27",27,"WPS146",1.133333333,2,0,0,0,0,0,0
"28",28,"WPS147",9.65,2,5,0,0,0,0,0
"29",29,"WPS148",3.3,4,0,6,0,0,0,0
"30",30,"WPS149",11.61666667,6,3,0,0,0,5,0
"31",31,"WPS150",4.6,2,0,1,4,0,0,0
"32",32,"WPS168",2.55,3,4,0,0,0,0,0
"33",33,"WPS170",5.55,1,0,3,0,0,0,0
"34",34,"WPS172",2.1,6,1,0,0,0,0,0
"35",35,"WPS174",2.666666667,1,4,0,0,0,0,0
"36",36,"WPS175",2.733333333,5,3,0,0,0,0,0
"37",37,"WPS187",2.116666667,3,2,0,0,0,0,0
"38",38,"WPS192",1.766666667,3,0,0,0,0,0,0
"39",39,"WPS195",2.666666667,2,0,0,0,0,0,0
"40",40,"WPS196",4.95,3,1,4,0,0,0,0
"41",41,"WPS197",11.98333333,0,5,1,0,0,0,0
"42",42,"WPS201",3.033333333,1,2,6,0,0,0,0
"43",43,"WPS202",2.783333333,6,4,0,0,0,0,0
